start_time,end_time,wav_file,emotion,val,act,dom
6.2901,8.2357,Ses01F_impro01_F000,neu,2.5,2.5,2.5
10.01,11.3925,Ses01F_impro01_F001,neu,2.5,2.5,2.5
14.8872,18.0175,Ses01F_impro01_F002,neu,2.5,2.5,2.5
27.46,31.49,Ses01F_impro01_F005,neu,2.5,3.5,2.0
85.27,88.02,Ses01F_impro01_F012,ang,2.0,3.5,3.5
97.89,102.96,Ses01F_impro01_F014,neu,2.5,3.5,3.5
87.15,94.39,Ses01F_impro01_M011,ang,2.0,4.0,4.0
101.84,107.87,Ses01F_impro01_M013,ang,2.0,4.5,4.5
7.2688,16.6,Ses01F_impro02_F000,sad,2.5,2.0,1.5
19.85,22.78,Ses01F_impro02_F001,sad,2.0,1.5,1.5
26.5659,32.2895,Ses01F_impro02_F002,sad,2.0,1.5,1.5
32.3075,37.96,Ses01F_impro02_F003,neu,2.0,2.0,2.0
47.34,53.11,Ses01F_impro02_F004,sad,2.5,2.0,2.5
58.75,61.31,Ses01F_impro02_F005,sad,2.0,2.0,2.5
64.255,68.47,Ses01F_impro02_F006,neu,2.5,2.5,2.5
87.2031,91.09,Ses01F_impro02_F008,sad,1.5,2.0,1.5
97.94,102.19,Ses01F_impro02_F010,sad,2.0,1.5,2.0
117.83,120.8605,Ses01F_impro02_F012,sad,3.5,2.0,1.5
127.82,133.9455,Ses01F_impro02_F013,sad,1.5,2.0,2.0
139.03,146.43,Ses01F_impro02_F014,sad,1.5,2.0,2.0
151.4221,155.01,Ses01F_impro02_F015,sad,2.0,2.5,2.5
163.54,165.73,Ses01F_impro02_F016,neu,2.0,1.0,2.5
169.36,176.015,Ses01F_impro02_F017,sad,3.5,3.0,2.5
176.08,179.13,Ses01F_impro02_F018,neu,2.5,2.5,2.5
182.83,185.8894,Ses01F_impro02_F019,sad,2.5,1.5,2.0
186.58,191.11,Ses01F_impro02_F020,sad,4.0,2.0,2.5
21.76,27.5558,Ses01F_impro02_M001,sad,2.0,2.5,2.5
